Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
65	0.0593	0.0153	0.353	0.0719	0.0202	0.00291	0.04	0.06	0.08	0.26	0.35	0.46	0.02	0.02	0.03
67	0.0584	0.015	0.353	0.0713	0.0206	0.00293	0.04	0.06	0.08	0.27	0.36	0.46	0.02	0.02	0.03
68	0.0576	0.0148	0.354	0.0699	0.0211	0.00297	0.04	0.06	0.08	0.27	0.36	0.46	0.02	0.02	0.03
69	0.0566	0.0146	0.353	0.0701	0.0216	0.00299	0.04	0.06	0.08	0.26	0.36	0.46	0.02	0.02	0.03
70	0.058	0.0151	0.355	0.0709	0.0214	0.00298	0.04	0.06	0.08	0.26	0.36	0.46	0.02	0.02	0.03
71	0.0566	0.0147	0.354	0.0687	0.0218	0.00308	0.04	0.06	0.08	0.26	0.36	0.46	0.02	0.02	0.03
72	0.0556	0.0146	0.354	0.069	0.0225	0.00317	0.04	0.05	0.08	0.27	0.36	0.46	0.02	0.02	0.03
74	0.0536	0.0142	0.352	0.0701	0.0233	0.00332	0.04	0.05	0.08	0.26	0.35	0.46	0.02	0.02	0.03
75	0.0535	0.0141	0.354	0.0689	0.024	0.00337	0.04	0.05	0.08	0.26	0.36	0.46	0.02	0.02	0.03
76	0.0528	0.0138	0.353	0.0682	0.0243	0.00346	0.04	0.05	0.08	0.26	0.36	0.46	0.02	0.02	0.03
77	0.0519	0.0138	0.352	0.0683	0.025	0.00354	0.04	0.05	0.08	0.26	0.36	0.46	0.02	0.02	0.03
78	0.0518	0.0135	0.353	0.068	0.0254	0.00345	0.04	0.05	0.08	0.27	0.36	0.46	0.02	0.02	0.03
79	0.0513	0.0136	0.354	0.0681	0.0257	0.00342	0.04	0.05	0.07	0.27	0.36	0.46	0.02	0.03	0.03
80	0.0504	0.0135	0.353	0.0679	0.0262	0.00355	0.03	0.05	0.07	0.27	0.36	0.46	0.02	0.03	0.03
